FECHA LANCE;LATITUD;LONGITUD;No LANCE;TIPO LANCE;TALLA;
27/03/2005;15;96;48;LANATUN;88;
27/03/2005;15;96;48;LANATUN;97;
27/03/2005;15;96;48;LANATUN;85;
27/03/2005;15;96;48;LANATUN;82;
27/03/2005;15;96;48;LANATUN;66;
27/03/2005;15;96;48;LANATUN;73;
27/03/2005;15;96;48;LANATUN;88;
27/03/2005;15;96;48;LANATUN;75;
27/03/2005;15;96;48;LANATUN;98;
27/03/2005;15;96;48;LANATUN;101;
27/03/2005;15;96;48;LANATUN;69;
27/03/2005;15;96;48;LANATUN;103;
27/03/2005;15;96;48;LANATUN;74;
27/03/2005;15;96;48;LANATUN;65;
30/03/2005;15;97;54;LANATUN;66;
30/03/2005;15;97;54;LANATUN;68;
30/03/2005;15;97;54;LANATUN;75;
30/03/2005;15;97;54;LANATUN;89;
30/03/2005;15;97;54;LANATUN;82;
30/03/2005;15;97;54;LANATUN;77;
30/03/2005;15;97;54;LANATUN;76;
30/03/2005;15;97;54;LANATUN;75;
30/03/2005;15;97;54;LANATUN;73;
30/03/2005;15;97;54;LANATUN;69;
30/03/2005;15;97;54;LANATUN;98;
30/03/2005;15;97;54;LANATUN;95;
30/03/2005;15;97;54;LANATUN;89;
30/03/2005;15;97;54;LANATUN;64;
30/03/2005;15;97;54;LANATUN;68;
30/03/2005;15;97;54;LANATUN;69;
30/03/2005;15;97;54;LANATUN;64;
30/03/2005;15;97;54;LANATUN;78;
30/03/2005;15;97;54;LANATUN;88;
30/03/2005;15;97;54;LANATUN;77;
30/03/2005;15;97;54;LANATUN;77;
30/03/2005;15;97;54;LANATUN;96;
30/03/2005;15;97;54;LANATUN;82;
30/03/2005;15;97;54;LANATUN;97;
30/03/2005;15;97;54;LANATUN;80;
30/03/2005;15;97;54;LANATUN;65;
30/03/2005;15;97;54;LANATUN;68;
30/03/2005;15;97;54;LANATUN;74;
30/03/2005;15;97;54;LANATUN;73;
30/03/2005;15;97;54;LANATUN;77;
30/03/2005;15;97;54;LANATUN;82;
30/03/2005;15;97;54;LANATUN;99;
30/03/2005;15;97;54;LANATUN;100;
30/03/2005;15;97;54;LANATUN;70;
30/03/2005;15;97;54;LANATUN;81;
30/03/2005;15;97;54;LANATUN;96;
30/03/2005;15;97;54;LANATUN;66;
30/03/2005;15;97;54;LANATUN;68;
30/03/2005;15;97;54;LANATUN;76;
30/03/2005;15;97;54;LANATUN;79;
30/03/2005;15;97;54;LANATUN;70;
30/03/2005;15;97;54;LANATUN;90;
30/03/2005;15;97;54;LANATUN;85;
30/03/2005;15;97;54;LANATUN;69;
15/03/2005;15;95;29;LANATUN;70;
15/03/2005;15;95;29;LANATUN;71;
15/03/2005;15;95;29;LANATUN;69;
15/03/2005;15;95;29;LANATUN;72;
15/03/2005;15;95;29;LANATUN;68;
15/03/2005;15;95;29;LANATUN;70;
15/03/2005;15;95;29;LANATUN;72;
15/03/2005;15;95;29;LANATUN;68;
15/03/2005;15;95;29;LANATUN;73;
15/03/2005;15;95;29;LANATUN;74;
15/03/2005;15;95;29;LANATUN;68;
15/03/2005;15;95;29;LANATUN;69;
15/03/2005;15;95;29;LANATUN;71;
15/03/2005;15;95;29;LANATUN;68;
15/03/2005;15;95;29;LANATUN;73;
15/03/2005;15;95;29;LANATUN;68;
15/03/2005;15;95;29;LANATUN;72;
15/03/2005;15;95;29;LANATUN;71;
15/03/2005;15;95;29;LANATUN;70;
15/03/2005;15;95;29;LANATUN;69;
15/03/2005;15;95;29;LANATUN;72;
15/03/2005;15;95;29;LANATUN;73;
15/03/2005;15;95;29;LANATUN;69;
