FECHADMA;LATITUD;LONGITUD;TIPOLANCE;TALLA
31/03/2007;15;95;LANATUN;36
31/03/2007;15;95;LANATUN;36
31/03/2007;15;95;LANATUN;36
18/07/2007;25;112;LANATUN;36
20/07/2007;24;112;LANATUN;37
20/07/2007;24;112;LANATUN;37
20/07/2007;24;112;LANATUN;37
26/07/2007;26;114;LANATUN;37
24/03/2007;15;95;LANATUN;37
24/03/2007;15;95;LANATUN;37
24/03/2007;15;95;LANATUN;37
29/03/2007;15;97;LANATUN;37
29/03/2007;15;97;LANATUN;37
29/03/2007;15;97;LANATUN;37
31/03/2007;15;95;LANATUN;37
31/03/2007;15;95;LANATUN;37
31/03/2007;15;95;LANATUN;37
31/03/2007;15;95;LANATUN;37
31/03/2007;15;95;LANATUN;37
31/03/2007;15;95;LANATUN;37
20/07/2007;24;112;LANATUN;38
20/07/2007;24;112;LANATUN;38
20/07/2007;24;112;LANATUN;38
20/07/2007;24;112;LANATUN;38
20/07/2007;24;112;LANATUN;38
20/07/2007;24;112;LANATUN;38
20/07/2007;24;112;LANATUN;38
26/07/2007;26;114;LANATUN;38
26/07/2007;26;114;LANATUN;38
26/07/2007;26;114;LANATUN;38
26/07/2007;26;114;LANATUN;38
26/07/2007;26;114;LANATUN;38
20/07/2007;24;112;LANATUN;38
26/07/2007;26;114;LANATUN;38
26/07/2007;26;114;LANATUN;38
26/07/2007;26;114;LANATUN;38
05/10/2007;16;117;LANATUN;38
24/03/2007;15;95;LANATUN;38
24/03/2007;15;95;LANATUN;38
29/03/2007;15;97;LANATUN;38
29/03/2007;15;97;LANATUN;38
29/03/2007;15;97;LANATUN;38
29/03/2007;15;97;LANATUN;38
31/03/2007;15;95;LANATUN;38
31/03/2007;15;95;LANATUN;38
31/03/2007;15;95;LANATUN;38
31/03/2007;15;95;LANATUN;38
31/03/2007;15;95;LANATUN;38
31/03/2007;15;95;LANATUN;38
31/03/2007;15;95;LANATUN;38
31/03/2007;15;95;LANATUN;38
31/03/2007;15;95;LANATUN;38
31/03/2007;15;95;LANATUN;38
18/07/2007;25;112;LANATUN;38
19/07/2007;25;112;LANATUN;39
20/07/2007;24;112;LANATUN;39
20/07/2007;24;112;LANATUN;39
26/07/2007;26;114;LANATUN;39
19/07/2007;25;112;LANATUN;39
19/07/2007;25;112;LANATUN;39
19/07/2007;25;112;LANATUN;39
19/07/2007;25;112;LANATUN;39
19/07/2007;25;112;LANATUN;39
19/07/2007;25;112;LANATUN;39
19/07/2007;25;112;LANATUN;39
20/07/2007;24;112;LANATUN;39
20/07/2007;24;112;LANATUN;39
20/07/2007;24;112;LANATUN;39
20/07/2007;24;112;LANATUN;39
26/07/2007;26;114;LANATUN;39
26/01/2007;11;101;LANATUN;39
24/03/2007;15;95;LANATUN;39
24/03/2007;15;95;LANATUN;39
29/03/2007;15;97;LANATUN;39
29/03/2007;15;97;LANATUN;39
29/03/2007;15;97;LANATUN;39
29/03/2007;15;97;LANATUN;39
29/03/2007;15;97;LANATUN;39
31/03/2007;15;95;LANATUN;39
31/03/2007;15;95;LANATUN;39
31/03/2007;15;95;LANATUN;39
31/03/2007;15;95;LANATUN;39
31/03/2007;15;95;LANATUN;39
31/03/2007;15;95;LANATUN;39
31/03/2007;15;95;LANATUN;39
31/03/2007;15;95;LANATUN;39
31/03/2007;15;95;LANATUN;39
31/03/2007;15;95;LANATUN;39
31/03/2007;15;95;LANATUN;39
31/03/2007;15;95;LANATUN;39
31/03/2007;15;95;LANATUN;39
31/03/2007;15;95;LANATUN;39
31/03/2007;15;95;LANATUN;39
18/07/2007;25;112;LANATUN;39
09/06/2007;16;117;LANATUN;40
09/06/2007;16;117;LANATUN;40
09/06/2007;16;117;LANATUN;40
09/06/2007;16;117;LANATUN;40
09/06/2007;16;117;LANATUN;40
17/04/2007;13;106;LANATUN;40
17/04/2007;13;106;LANATUN;40
26/08/2007;25;112;LANATUN;40
26/08/2007;25;112;LANATUN;40
19/07/2007;25;112;LANATUN;40
19/07/2007;25;112;LANATUN;40
19/07/2007;25;112;LANATUN;40
19/07/2007;25;112;LANATUN;40
19/07/2007;25;112;LANATUN;40
19/07/2007;25;112;LANATUN;40
19/07/2007;25;112;LANATUN;40
19/07/2007;25;112;LANATUN;40
20/07/2007;24;112;LANATUN;40
20/07/2007;24;112;LANATUN;40
20/07/2007;24;112;LANATUN;40
