datenum,oni
734092,1.2
734122,1.3
734153,1.3
734184,1.1
734212,0.8
734243,0.5
734273,0
734304,-0.4
734334,-0.8
734365,-1.1
734396,-1.3
734426,-1.4
734457,-1.3
734487,-1.4
734518,-1.3
734549,-1.1
734577,-0.8
734608,-0.6
734638,-0.3
734669,-0.2
734699,-0.3
734730,-0.5
734761,-0.7
734791,-0.9
734822,-0.9
734852,-0.8
734883,-0.7
734914,-0.6
734943,-0.5
734974,-0.4
735004,-0.3
735035,-0.1
735065,0.1
735096,0.3
735127,0.4
735157,0.4
735188,0.2
735218,-0.2
735249,-0.4
735280,-0.5
735308,-0.3
735339,-0.2
735369,-0.2
735400,-0.2
735430,-0.2
735461,-0.2
735492,-0.2
735522,-0.2
735553,-0.2
735583,-0.3
735614,-0.5
735645,-0.6
735673,-0.4
735704,-0.2
735734,0
735765,0
735795,0
735826,0
735857,0.2
735887,0.4
735918,0.6
735948,0.6
735979,0.5
736010,0.4
736038,0.5
736069,0.7
736099,0.9
736130,1
736160,1.2
736191,1.5
736222,1.7
